word,definition,chapter
Facial bones,"-13 bones -2 nasal- forms the bride of the nose -2 lacrimal (relating to tears) -2 zygomatic (malar bone)bone- form the cheeks; zygo= yoke, mala=cheek -2 palatine -1 vomer -1 inferior nasal concha -2 maxilla- upper jaw bone -1 mandible- lower jaw bone (mandere- to chew)",1
Sternum,"manubrium, body, xiphoid process (sword shaped)",1
Costae verae,true ribs 1-7,1
Costa fluctuantes,"false ribs pairs 8,9,10",1
Costae spuriae,"false ribs (pairs 8,9,10) AND floating ribs (pairs 11 & 12)",1
Thoracic cage,-sternum -ribs -cartilage,1
Spinal column,-cervical (cervix=neck) -thoracic (chest; breastplate) -lumbar (lumbus=loin) -sacral (sacer= sacred) -coccygeal (a cuckoo),1
Appendicular Skeleton,-shoulder bones -arm and hand bones -pelvis bones -leg and feet bones,1
Shoulder,-clavicle (collar bone) -scapula (shoulder blade),1
Arm and hand bones,-humerus (L.shoulder) -radius -ulna -carpals (karpos=wrist) -metacarpals (beyond wrist) -phalanges (phalanx= line of soldiers; phalang/o= fingers or toes),1
Pelvis,"-os coxae fusion of: -ilium (groin, flank) -ischium (ischion-hip) -pubis -sacrum",1
Leg,-Femur (thigh) -Tibia (shin bone); medial malleolus (malleus=hammer) -Fibula (figibula- that which fastens); lateral malleolus -Patella (patina- shallow disk),1
Foot,"-Talus -Tarsals (tarsos- flat surface); (cuboid, cuneiforms) -Metatarsals -Phalanges -Calcaneus (heel)",1
Joints,"""meeting place"" between bones",1
Synarthrosis,joint with no movement (cranial bones),1
Amphiarthrosis,joint with little movement (vertebrae),1
Diarthrosis or synovial,joint with free movement (knee),1
Bursae,spaces within connective tissue filled with synovial fluid,1
Cartilage,connective tissue that enables movement,1
Joint movements,- Flexion vs. Extension - Pronation/Supination - Abduction/Adduction - Circumduction - Dorsiflexion/Plantar flexion - Inversion/Eversion - Rotation,1
Disorders of the Skeletal System,-Trauma :fractures- break in the bone :sprain- tear in a ligament -Disease -Neoplasms -Joint disorders -Disorders of the spine,1
Diseases of the Skeletal System,-Osteoporosis- loss of bone mass -Rickets- poor bone calcification due to vitamin D deficit; bow-legged -Osteomalacia- softening of the bone; compression fractures of vertebrae,1
Neoplasms,"-Osteosarcoma- highly malignant tumor of the bone; malignant, often in children -Chondrosarcoma- cartilage tumor; more often in adults",1
Joint disorders,"-Arthritis- inflammation of the joint -Osteoarthritis- gradual disintegration of the joint cartilage -Rheumatoid arthritis- systemic, auto-immune, inflammatory disorder; fingers, fluid accumulation",1
Spinal disorders,"-Herniated disc- disc that protrudes into the spinal canal -Lordosis- ""swayback"" -Kyphosis- ""hunchback"" -Scoliosis- lateral curvature",1
Diagnostic procedures,-X-ray -MRI- magnetic resonance imaging (soft tissues) -CT scan- computerized tomography (bones; lots of radiation),1
Pharmacologic Agents,-Analgesics -Narcotics -Anti-inflammatory -NSAIDs,1
Analgesics,relieve pain (an=without; algesia= without sensation),1
Narcotics,strong pain relief medication (narc/o= to sleep),1
Anti-inflammatory,reduce joint swelling,1
NSAIDs,Nonsteroidal anti-inflammatory drugs are used to treat inflammatory response. Ex. Ibuprofen and Aleve,1
Muscle function,-Helps maintain posture -Produces heat -Provides movement,1
